Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Drive","The Weeknd","Hurry Up Tomorrow","Favorite Songs","Favorite","USUG12501143","3Dmlm9uTQ6dKefftEUeSDa"
"Give It Away","Trophy Boy Poems","Give It Away","Favorite Songs","Favorite","QZZ782637977","5ZMzujUIukmL0TrMbXBQwd"
"Groves","Ludwig Göransson","Oppenheimer (Original Motion Picture Soundtrack)","Favorite Songs","Favorite","USQ4E2204396","1hAiPMWwuIqPDPu6UzFXMe"
"Be The One","Adam Port","Be The One","Favorite Songs","Favorite","DEEC33502469","4gDKviRLkpZowZhcnRPqqE"
"DANCE...","Slayyyter","DANCE...","Favorite Songs","Favorite","USQX92505473","5rfOARz6QO73wPATyMtQQZ"
"welcome and goodbye","Dream, Ivory","welcome and goodbye","Favorite Songs","Favorite","QM42K1745830","00RLNHc2jkEjUoCUlFgPVT"
"Treehouse","Alex G","Treehouse","Favorite Songs","Favorite","TCAFZ2296401","7fyG2MquxykO3Ufiku1Dj2"
"Gone","lucidbeatz","Gone","Favorite Songs","Favorite","QZFZ42360835","0ZUhSat1BWMdpcfqdL28dU"
"Aarzu","Noor","Aarzu","Favorite Songs","Favorite","US6R22561374","429S6EpLnnZooZZLm3LEyN"
"Mighty Little Man","Steve Burns","Mighty Little Man","Favorite Songs","Favorite","GBPVV1702007","6xGXLkxGLXaQlh561A6GFK"
"Udi Udi","Aneesh","Udi Udi","Favorite Songs","Favorite","US39N2646108","4ROldgaRDDAI2VP8rWkjat"
"Wake Me Up (feat. Justice)","The Weeknd","Hurry Up Tomorrow","Favorite Songs","Favorite","USUG12501128","5673WA8EEUSPx1ir26lhGW"
"Children","Robert Miles","Children (Dance Vault Mixes)","Favorite Songs","Favorite","GBARS9600151","4wtR6HB3XekEengMX17cpc"
"Top Fella","Karan Aujla","Top Fella","Favorite Songs","Favorite","GXJBZ2678682","4x8JsInrhf0yWYFRpF4vRz"
"Fast Car","Tracy Chapman","Tracy Chapman","Favorite Songs","Favorite","USEE10180719","2M9ro2krNb7nr7HSprkEgo"
"Moth To A Flame (with The Weeknd)","Swedish House Mafia","Moth To A Flame","Favorite Songs","Favorite","USUG12105524","7kfOEMJBJwdCYqyJeEnNhr"
"About You","The 1975","Being Funny In A Foreign Language","Favorite Songs","Favorite","GBK3W2202321","3hEfpBHxgieRLz4t3kLNEg"
"A Message","Coldplay","X&Y","Favorite Songs","Favorite","GBAYE0500608","2w3eXFL86RgxGtDr8bzwgK"
"Hoppípolla - 2025 Remaster","Sigur Rós","Takk... (20th Anniversary Deluxe Edition)","Favorite Songs","Favorite","GBKEE2500583","6ahyBFv4afQMytgmpFv1G5"
"I Think They Call This Love - Cover","Matthew Ifield","I’ll Be Home For Christmas / I Think They Call This Love (Cover)","Favorite Songs","Favorite","AUUM72400359","14mT8BCOXiUUcGlb7KujkT"
"Earned It (Fifty Shades Of Grey)","The Weeknd","The Highlights","Favorite Songs","Favorite","USUG11500923","1cQ3LIkZE68pMSnPhZWXLu"
"House Of Balloons / Glass Table Girls","The Weeknd","Trilogy","Favorite Songs","Favorite","USUM71212069","50iiDJGpAPdr2VTrz999XA"
"High For This","The Weeknd","Trilogy","Favorite Songs","Favorite","USUM71212055","5fohLPNqO6TqwrZ7BoUWUT"
"C'mon Baby","Payal Dev","C'mon Baby","Favorite Songs","Favorite","INUM72600606","39798cJoAbKKybK6ZKpYWB"
"Take Me Higher","Sanxez","Take Me Higher","Favorite Songs","Favorite","US39N2678599","7uOB0JAhJ64JyxpqEgv2OQ"
"No Shape Without You","Shimza","No Shape Without You","Favorite Songs","Favorite","QZUCN2202535","61z9JuSmy3ojIWoVhGHQAE"
"Azizam","merchant","Azizam","Favorite Songs","Favorite","US38Y2545479","1lIT2ZiOQetROcnkCRK4pf"
"Karibu","WITH U","Karibu","Favorite Songs","Favorite","DEN062400232","6jTbKd7VnhCt5qxyWTdak7"
"Falling","Shimza","Falling","Favorite Songs","Favorite","QZUCN2202501","4d8031x6HPpjQtH98BmRio"
"Places","Elderbrook","Another Touch","Favorite Songs","Favorite","US38Y2411971","4fRgzxAJcqhjYv5DQJSdRH"
"Jackie B","&friends","Jackie B","Favorite Songs","Favorite","NL3M12406624","6AriBfTagIjKVUov3WEwOa"
"Shine Like Stars","Benji","Shine Like Stars","Favorite Songs","Favorite","GBKQU2521951","6wlopbfuodLVb5hMSa2TR2"
"Move","Adam Port","Move","Favorite Songs","Favorite","DEEC33501508","1BJJbSX6muJVF2AK7uH1x4"
"Move (feat. Camila Cabello & Malachiii)","Stryv","Move (feat. Camila Cabello & Malachiii)","Favorite Songs","Favorite","USUG12405639","0scd3nh27AYTNXo0KHRmsG"
"Wait For You","WizTheMc","Wait For You","Favorite Songs","Favorite","AEA3A1999478","17Pg7WwDCaK5FlFshdcKD7"
"Without a Warning","The Weeknd","Hurry Up Tomorrow","Favorite Songs","Favorite","USUG12501146","6n6GfXu4i22rdsmRKe2eIn"
"The Cruel Angel's Thesis (Director's Edit Version)","高橋　洋子","NEON GENESIS EVANGELION (Original Series Soundtrack)","Favorite Songs","Favorite","JPKI09522450","3x4378ztiLvFmm2nuzEI0C"
